Sample_ID,Species,Type,Sex,Counts,Total Mapped,Proportion Mapped,Percent mapped (%),Group,Reference genome,,,,,
SRR21159093,Mauremys mutica,Liver,Female,0,33056738,0,85.66,Cryptodira,Mauremys mutica,,,,,
SRR21159098,Mauremys mutica,Gonad,Female,2195,36999017,5.93259E-05,98.20,Cryptodira,Mauremys mutica,,,,,
SRR15315613,Pelodiscus sinensis,Gonad,Female,4,38511154,1.03866E-07,87.98,Cryptodira,Pelodiscus sinensis,,,,,
SRR15315614,Pelodiscus sinensis,Gonad,Female,0,34967369,0,87.74,Cryptodira,Pelodiscus sinensis,,,,,
SRR15315615,Pelodiscus sinensis,Gonad,Female,6,33720989,1.77931E-07,87.75,Cryptodira,Pelodiscus sinensis,,,,,
SRR15315619,Pelodiscus sinensis,Gonad,Male,9,44312572,2.03103E-07,88.16,Cryptodira,Pelodiscus sinensis,,,,,
SRR15315620,Pelodiscus sinensis,Gonad,Male,4,41135738,9.7239E-08,88.63,Cryptodira,Pelodiscus sinensis,,,,,
SRR15829334,Pelodiscus sinensis,Liver,Female,0,32982852,0,87.08,Cryptodira,Pelodiscus sinensis,,,,,
SRR15829335,Pelodiscus sinensis,Liver,Female,0,34666312,0,87.03,Cryptodira,Pelodiscus sinensis,,,,,
SRR15829337,Pelodiscus sinensis,Liver,Male,0,36904701,0,86.84,Cryptodira,Pelodiscus sinensis,,,,,
SRR15829338,Pelodiscus sinensis,Liver,Male,0,36470213,0,88.15,Cryptodira,Pelodiscus sinensis,,,,,
SRR11524053,Crotalus tigris,Gonad,Unk,14,34663258,4.03886E-07,94.27,Serpentes/Viperidae,Crotalus tigris,,,,,
SRR11524076,Crotalus tigris,Liver,Unk,5,49567074,1.00873E-07,96.16,Serpentes/Viperidae,Crotalus tigris,,,,,
SRR22311013,Hemicordylus capensis,Liver,Female,0,57059617,0,96.55,Scinciformata,Hemicordylus capensis,,,,,
SRR22311015,Hemicordylus capensis,Gonad,Female,1046,83515310,1.25246E-05,98.29,Scinciformata,Hemicordylus capensis,,,,,
SRR22311018,Hemicordylus capensis,Liver,Male,7,69412003,1.00847E-07,97.37,Scinciformata,Hemicordylus capensis,,,,,
SRR11050679,Sceloporus undulatus,Gonad,Male,63,37824690,1.66558E-06,84.36,Iguania,Sceloporus undulatus,,,,,
SRR11647816,Sceloporus undulatus,Liver,Male,5,230222,2.17182E-05,4.40,Iguania,Sceloporus undulatus,,,,,
SRR11647817,Sceloporus undulatus,Liver,Male,4,3540257,1.12986E-06,53.01,Iguania,Sceloporus undulatus,,,,,
SRR9596698,Pantherophis guttatus,Gonad,Female,7,28120292,2.48931E-07,93.01,Serpentes/Colubroidea,Pantherophis guttatus,,,,,
SRR9596699,Pantherophis guttatus,Gonad,Male,31,24406272,1.27017E-06,93.92,Serpentes/Colubroidea,Pantherophis guttatus,,,,,
SRR9596707,Pantherophis guttatus,Liver,Male,28,24362686,1.1493E-06,93.52,Serpentes/Colubroidea,Pantherophis guttatus,,,,,
SRR9596713,Pantherophis guttatus,Gonad,Male,1608,26972837,5.96155E-05,92.69,Serpentes/Colubroidea,Pantherophis guttatus,,,,,
SRR9596714,Pantherophis guttatus,Gonad,Female,13,25013534,5.19719E-07,94.47,Serpentes/Colubroidea,Pantherophis guttatus,,,,,
SRR9596715,Pantherophis guttatus,Liver,Female,329,45386747,7.24881E-06,90.02,Serpentes/Colubroidea,Pantherophis guttatus,,,,,
SRR30844227,Erythrolamprus reginae,Gonad,Female,11,232795827,4.72517E-08,63.34,Serpentes/Colubroidea,Pantherophis guttatus,,,,,
SRR30844226,Erythrolamprus reginae,Liver,Unk,0,48321290,0,32.82,Serpentes/Colubroidea,Pantherophis guttatus,,,,,
SRR13616481,Pogona vitticeps,Gonad,Unk,61,35044700,1.74063E-06,73.23,Iguania,Pogona vitticeps,,,,,
SRR13616480,Pogona vitticeps,Gonad,Unk,33,39081619,8.44387E-07,75.78,Iguania,Pogona vitticeps,,,,,
SRR21252290,Pogona vitticeps,Liver,Unk,0,30295319,0,73.78,Iguania,Pogona vitticeps,,,,,
SRR21252291,Pogona vitticeps,Liver,Unk,6,32864044,1.8257E-07,77.54,Iguania,Pogona vitticeps,,,,,
SRR26583189,Rhineura floridana,Gonad,Female,91703,319931243,0.000286633,98.41,Laterata,Rhineura floridana,,,,,
SRR26583191,Rhineura floridana,Liver,Unk,32,345025369,9.27468E-08,94.09,Laterata,Rhineura floridana,,,,,
SRR22062179,Trachemys scripta,Gonad,Male,2993,26210190,0.000114192,59.06,Cryptodira,Chrysemys picta bellii,,,,,
SRR11306934,Trachemys scripta,Liver,Unk,0,44601898,0,76.35,Cryptodira,Chrysemys picta bellii,,,,,
SRR11306933,Trachemys scripta,Liver,Unk,0,71191623,0,88.83,Cryptodira,Chrysemys picta bellii,,,,,
SRR8468523,Podarcis muralis,Gonad,Male,1347,103970692,1.29556E-05,84.50,Laterata,Podarcis muralis,,,,,
SRR8468522,Podarcis muralis,Skin,Unk,16,194329130,8.23345E-08,92.14,Laterata,Podarcis muralis,,,,,
SRR8754967,Naja naja,Liver,Unk,62,17061601,3.63389E-06,37.44,Serpentes/Elapidae,Notechis scutatus,,,,,
SRR8754969,Naja naja,Gonad,Female,125,23898293,5.2305E-06,44.27,Serpentes/Elapidae,Notechis scutatus,,,,,
SRR8754971,Naja naja,Gonad,Male,25,17018010,1.46903E-06,47.28,Serpentes/Elapidae,Notechis scutatus,,,,,
SRR8754979,Naja naja,Gonad,Female,444,53888598,8.23922E-06,47.75,Serpentes/Elapidae,Notechis scutatus,,,,,
SRR29040880,Anniella stebbinsi,Gonad,Female,3,36269694,8.27137E-08,30.47,Anguimorpha,Elgaria multicarinata webbii,,,,,
SRR29040882,Anniella stebbinsi,Heart,Unk,0,28029384,0,26.91,Anguimorpha,Elgaria multicarinata webbii,,,,,