Organism,Liver,Gonads/Testis/Ovaries,Skin,Reproductive tissue, Heart,Brain,oviduct
Emydura macquarii,SRR29317041,,,SRR29317039,,,
Chelonia mydas,,"SRR14839288
SRR14517640","SRR14483578
SRR14483579
SRR14483580",,,,
Caretta caretta,,"SRR32073537
SRR32105404
",,,SRR32105406,,
Lepidochelys olivacea,"SRR12963788
SRR12963789
SRR12963790","SRR12963744
SRR12963745
SRR12963743",,,,,
Hemicordylus capensis,"SRR22311013
SRR22311018","SRR22311015
SRR22311020",,,,,
Podarcis muralis,,SRR8468523,SRR8468522,,,,
Sceloporus Undulatus,"SRR27194003 
SRR27194004",SRR11050679,,,,,
Phrynosoma platyrhinos,SRR13326553,SRR13326549,,,,,
Erythrolamprus reginae,SRR30844226,SRR30844227,,,,,
Naja naja,"SRR8754967
SRR8754989","SRR8754969
SRR8754979
SRR8754971",,,,,
,,,,,,,
Eublepharis macularius,SRR629643,,SRR35681115,,,,
Heteronotia binoei,SRR28055541,SRR26275661,,,,,
Candoia aspera,SRR629646,,,,,,
Gekko japonicus,DRR851195,,,,,,
Hemicordylus capensis,SRR22311013,SRR22311020,,,,,
Sceloporus Undulatus,SRR27194003,SRR11050679       ,,,,,
Tiliqua scincoides,,,,,SRR26583192,,
Rhineura floridana ,SRR26583191        ,SRR26583189,,,,,
Zootoca vivipara,SRR11262332,ERR13757933        ,SRR19753050,,,,
Lacerta agilis,,SRR11578401/ SRR11578402/   ,,,,SRR11578403,
Ahaetulla prasina,,,SRR23263076/SRR23263077/SRR23263078,,,,
Podarcis muralis,SRR34978171/SRR34978172/SRR34978173/,SRR8468523,SRR25634209/SRR25634210/SRR25634211              ,,,,
Anolis carolinensis,SRR32611900,SRR11050686,,,,,
Podarcis lilfordi,SRR22164009,,,,SRR22164011,,
Crotalus adamanteus,SRR21096539/SRR21096545	,SRR21096542,,,,,
Shinisaurus crocodilurus ,DRR034612,,,,,,
Varanus komodoensis,,,,,SRR8735151/SRR8735152,,
Chameleo calyptratus,,"SRR31924012/SRR31924013/SRR6662600/SRR6662598
",,,,,SRR31924011
Crotalus tigris,SRR11816476        / SRR11816478,SRR11816479,,,,,
Pogona vitticeps,SRR33637512/SRR31361866 /SRR31361880               ,SRR33637509/SRR31361863/SRR31361877,,,SRR31361861,,
Pantherophis guttatus,,SRR31924008,,,,,
Thamnophis sirtalis,SRR33450572,,,,,,
Naja naja,,SRR8754969/ SRR8754971,,,,,
Notechis scutatus,SRR519464/ SRR519122,,,,,,
Pseudonaja textilis,SRR33084393/ SRR33084394	,,,,,,
Malpolon monspessulanus,ERR14146520,,,,,,
python bivittatus,SRR5190735,,,,SRR5190735,,